score;content;case_folding;cleaning;tokenisasi;normalisasi;stopword_removal;stemming
5;Aplikasi TIX ID sangat mempermudah pengunjung Bioskop untuk lebih praktis dan simpel saat ingin menonton di Bioskop tanpa harus mengantri tiket.. bisa pesan dari rumah.., menghemat waktu juga. Bisa lihat film terbaru yang sedang tayang, bisa mudah memilih Bioskop kesukaan, jam tayang, dan memilih kursi dengan mudah dan praktis.. Begitu menyenangkan menggunakan TIX ID..🤩👍🏻👍🏻👍🏻;aplikasi tix id sangat mempermudah pengunjung bioskop untuk lebih praktis dan simpel saat ingin menonton di bioskop tanpa harus mengantri tiket.. bisa pesan dari rumah.., menghemat waktu juga. bisa lihat film terbaru yang sedang tayang, bisa mudah memilih bioskop kesukaan, jam tayang, dan memilih kursi dengan mudah dan praktis.. begitu menyenangkan menggunakan tix id..🤩👍🏻👍🏻👍🏻;aplikasi tix id sangat mempermudah pengunjung bioskop untuk lebih praktis dan simpel saat ingin menonton di bioskop tanpa harus mengantri tiket bisa pesan dari rumah menghemat waktu juga bisa lihat film terbaru yang sedang tayang bisa mudah memilih bioskop kesukaan jam tayang dan memilih kursi dengan mudah dan praktis begitu menyenangkan menggunakan tix id🤩👍🏻👍🏻👍🏻;['aplikasi', 'tix', 'id', 'sangat', 'mempermudah', 'pengunjung', 'bioskop', 'untuk', 'lebih', 'praktis', 'dan', 'simpel', 'saat', 'ingin', 'menonton', 'di', 'bioskop', 'tanpa', 'harus', 'mengantri', 'tiket', 'bisa', 'pesan', 'dari', 'rumah', 'menghemat', 'waktu', 'juga', 'bisa', 'lihat', 'film', 'terbaru', 'yang', 'sedang', 'tayang', 'bisa', 'mudah', 'memilih', 'bioskop', 'kesukaan', 'jam', 'tayang', 'dan', 'memilih', 'kursi', 'dengan', 'mudah', 'dan', 'praktis', 'begitu', 'menyenangkan', 'menggunakan', 'tix', 'id🤩👍🏻👍🏻👍🏻'];['aplikasi', 'tix', 'id', 'sangat', 'mempermudah', 'pengunjung', 'bioskop', 'untuk', 'lebih', 'praktis', 'dan', 'simpel', 'saat', 'ingin', 'menonton', 'di', 'bioskop', 'tanpa', 'harus', 'mengantri', 'tiket', 'bisa', 'pesan', 'dari', 'rumah', 'menghemat', 'waktu', 'juga', 'bisa', 'lihat', 'film', 'terbaru', 'yang', 'sedang', 'tayang', 'bisa', 'mudah', 'memilih', 'bioskop', 'kesukaan', 'jam', 'tayang', 'dan', 'memilih', 'kursi', 'dengan', 'mudah', 'dan', 'praktis', 'begitu', 'menyenangkan', 'menggunakan', 'tix', 'id🤩👍🏻👍🏻👍🏻'];['aplikasi', 'tix', 'id', 'sangat', 'mempermudah', 'pengunjung', 'bioskop', 'untuk', 'lebih', 'praktis', 'dan', 'simpel', 'saat', 'ingin', 'menonton', 'di', 'bioskop', 'tanpa', 'harus', 'mengantri', 'tiket', 'bisa', 'pesan', 'dari', 'rumah', 'menghemat', 'waktu', 'juga', 'bisa', 'lihat', 'film', 'terbaru', 'yang', 'sedang', 'tayang', 'bisa', 'mudah', 'memilih', 'bioskop', 'kesukaan', 'jam', 'tayang', 'dan', 'memilih', 'kursi', 'dengan', 'mudah', 'dan', 'praktis', 'begitu', 'menyenangkan', 'menggunakan', 'tix', 'id🤩👍🏻👍🏻👍🏻'];['aplikasi', 'tix', 'id', 'sangat', 'mudah', 'unjung', 'bioskop', 'untuk', 'lebih', 'praktis', 'dan', 'simpel', 'saat', 'ingin', 'tonton', 'di', 'bioskop', 'tanpa', 'harus', 'antri', 'tiket', 'bisa', 'pesan', 'dari', 'rumah', 'hemat', 'waktu', 'juga', 'bisa', 'lihat', 'film', 'baru', 'yang', 'sedang', 'tayang', 'bisa', 'mudah', 'pilih', 'bioskop', 'suka', 'jam', 'tayang', 'dan', 'pilih', 'kursi', 'dengan', 'mudah', 'dan', 'praktis', 'begitu', 'senang', 'guna', 'tix', 'id']
1;"Ini knp y baru instal gk bisa dibuka. Udah lebih dr 5menit tulisan tix id background biru dongker gk berubah-ubah. Stuk disitu aja drtd. Update : ada pop up bertuliskan ""ada kendala, coba ulangi beberapa saat lagi"" Ps. Bintang akan di rubah jika apk sudah bisa dibuka.";"ini knp y baru instal gk bisa dibuka. udah lebih dr 5menit tulisan tix id background biru dongker gk berubah-ubah. stuk disitu aja drtd. update : ada pop up bertuliskan ""ada kendala, coba ulangi beberapa saat lagi"" ps. bintang akan di rubah jika apk sudah bisa dibuka.";ini knp y baru instal gk bisa dibuka udah lebih dr 5menit tulisan tix id background biru dongker gk berubahubah stuk disitu aja drtd update  ada pop up bertuliskan ada kendala coba ulangi beberapa saat lagi ps bintang akan di rubah jika apk sudah bisa dibuka;['ini', 'knp', 'y', 'baru', 'instal', 'gk', 'bisa', 'dibuka', 'udah', 'lebih', 'dr', '5menit', 'tulisan', 'tix', 'id', 'background', 'biru', 'dongker', 'gk', 'berubahubah', 'stuk', 'disitu', 'aja', 'drtd', 'update', 'ada', 'pop', 'up', 'bertuliskan', 'ada', 'kendala', 'coba', 'ulangi', 'beberapa', 'saat', 'lagi', 'ps', 'bintang', 'akan', 'di', 'rubah', 'jika', 'apk', 'sudah', 'bisa', 'dibuka'];['ini', 'kenapa', 'ya', 'baru', 'instal', 'tidak', 'bisa', 'dibuka', 'sudah', 'lebih', 'dari', '5menit', 'tulisan', 'tix', 'id', 'background', 'biru', 'dongker', 'tidak', 'berubahubah', 'stuk', 'disitu', 'saja', 'dari tadi', 'perbarui', 'ada', 'pop', 'up', 'bertuliskan', 'ada', 'kendala', 'coba', 'ulangi', 'beberapa', 'saat', 'lagi', 'ps', 'bintang', 'akan', 'di', 'rubah', 'jika', 'aplikasi', 'sudah', 'bisa', 'dibuka'];['ini', 'kenapa', 'ya', 'baru', 'instal', 'tidak', 'bisa', 'dibuka', 'sudah', 'lebih', 'dari', '5menit', 'tulisan', 'tix', 'id', 'background', 'biru', 'dongker', 'tidak', 'berubahubah', 'stuk', 'disitu', 'saja', 'dari tadi', 'perbarui', 'ada', 'pop', 'up', 'bertuliskan', 'ada', 'kendala', 'coba', 'ulangi', 'beberapa', 'saat', 'lagi', 'ps', 'bintang', 'akan', 'di', 'rubah', 'jika', 'aplikasi', 'sudah', 'bisa', 'dibuka'];['ini', 'kenapa', 'ya', 'baru', 'instal', 'tidak', 'bisa', 'buka', 'sudah', 'lebih', 'dari', '5menit', 'tulis', 'tix', 'id', 'background', 'biru', 'dongker', 'tidak', 'berubahubah', 'stuk', 'situ', 'saja', 'dari tadi', 'baru', 'ada', 'pop', 'up', 'tulis', 'ada', 'kendala', 'coba', 'ulang', 'beberapa', 'saat', 'lagi', 'ps', 'bintang', 'akan', 'di', 'rubah', 'jika', 'aplikasi', 'sudah', 'bisa', 'buka']
4;lumayan.., klo apk tmbh bagus nanti sy kasih bintang lagi.. tolong background apk nya di tambah kn tema,biar tdk monoton, cuma warna putih doang, trs terang soal tampilan msh bagus apk sebelah/Mtix xxi..;lumayan.., klo apk tmbh bagus nanti sy kasih bintang lagi.. tolong background apk nya di tambah kn tema,biar tdk monoton, cuma warna putih doang, trs terang soal tampilan msh bagus apk sebelah/mtix xxi..;lumayan klo apk tmbh bagus nanti sy kasih bintang lagi tolong background apk nya di tambah kn temabiar tdk monoton cuma warna putih doang trs terang soal tampilan msh bagus apk sebelahmtix xxi;['lumayan', 'klo', 'apk', 'tmbh', 'bagus', 'nanti', 'sy', 'kasih', 'bintang', 'lagi', 'tolong', 'background', 'apk', 'nya', 'di', 'tambah', 'kn', 'temabiar', 'tdk', 'monoton', 'cuma', 'warna', 'putih', 'doang', 'trs', 'terang', 'soal', 'tampilan', 'msh', 'bagus', 'apk', 'sebelahmtix', 'xxi'];['lumayan', 'kalau', 'aplikasi', 'tambah', 'bagus', 'nanti', 'saya', 'kasih', 'bintang', 'lagi', 'tolong', 'background', 'aplikasi', 'nya', 'di', 'tambah', 'kan', 'temabiar', 'tidak', 'monoton', 'cuma', 'warna', 'putih', 'saja', 'terus', 'terang', 'soal', 'tampilan', 'masih', 'bagus', 'aplikasi', 'sebelahmtix', 'xxi'];['lumayan', 'kalau', 'aplikasi', 'tambah', 'bagus', 'nanti', 'saya', 'kasih', 'bintang', 'lagi', 'tolong', 'background', 'aplikasi', 'nya', 'di', 'tambah', 'kan', 'temabiar', 'tidak', 'monoton', 'cuma', 'warna', 'putih', 'saja', 'terus', 'terang', 'soal', 'tampilan', 'masih', 'bagus', 'aplikasi', 'sebelahmtix', 'xxi'];['lumayan', 'kalau', 'aplikasi', 'tambah', 'bagus', 'nanti', 'saya', 'kasih', 'bintang', 'lagi', 'tolong', 'background', 'aplikasi', 'nya', 'di', 'tambah', 'kan', 'temabiar', 'tidak', 'monoton', 'cuma', 'warna', 'putih', 'saja', 'terus', 'terang', 'soal', 'tampil', 'masih', 'bagus', 'aplikasi', 'sebelahmtix', 'xxi']
3;Sebenernya sih udah bagus, tapi sayang belum disabilitas friendly. Hiburan kan diciptakan untuk semua orang agar bisa dinikmati. Jadi tolong ya buat menu pemilihan kursi bikin biar bisa diakses sama screen reader dan tolong pada proses pengembangannya libatkan yang harus dilibatkan. Hanya sekadar masukan sih, semoga kedepan aplikasinya bisa lebih inklusif bisa diaksses sama semua orang tanpa terkecuali. Terima kasih.;sebenernya sih udah bagus, tapi sayang belum disabilitas friendly. hiburan kan diciptakan untuk semua orang agar bisa dinikmati. jadi tolong ya buat menu pemilihan kursi bikin biar bisa diakses sama screen reader dan tolong pada proses pengembangannya libatkan yang harus dilibatkan. hanya sekadar masukan sih, semoga kedepan aplikasinya bisa lebih inklusif bisa diaksses sama semua orang tanpa terkecuali. terima kasih.;sebenernya sih udah bagus tapi sayang belum disabilitas friendly hiburan kan diciptakan untuk semua orang agar bisa dinikmati jadi tolong ya buat menu pemilihan kursi bikin biar bisa diakses sama screen reader dan tolong pada proses pengembangannya libatkan yang harus dilibatkan hanya sekadar masukan sih semoga kedepan aplikasinya bisa lebih inklusif bisa diaksses sama semua orang tanpa terkecuali terima kasih;['sebenernya', 'sih', 'udah', 'bagus', 'tapi', 'sayang', 'belum', 'disabilitas', 'friendly', 'hiburan', 'kan', 'diciptakan', 'untuk', 'semua', 'orang', 'agar', 'bisa', 'dinikmati', 'jadi', 'tolong', 'ya', 'buat', 'menu', 'pemilihan', 'kursi', 'bikin', 'biar', 'bisa', 'diakses', 'sama', 'screen', 'reader', 'dan', 'tolong', 'pada', 'proses', 'pengembangannya', 'libatkan', 'yang', 'harus', 'dilibatkan', 'hanya', 'sekadar', 'masukan', 'sih', 'semoga', 'kedepan', 'aplikasinya', 'bisa', 'lebih', 'inklusif', 'bisa', 'diaksses', 'sama', 'semua', 'orang', 'tanpa', 'terkecuali', 'terima', 'kasih'];['sebenernya', 'sih', 'sudah', 'bagus', 'tapi', 'sayang', 'belum', 'disabilitas', 'friendly', 'hiburan', 'kan', 'diciptakan', 'untuk', 'semua', 'orang', 'agar', 'bisa', 'dinikmati', 'jadi', 'tolong', 'iya', 'buat', 'menu', 'pemilihan', 'kursi', 'bikin', 'biar', 'bisa', 'diakses', 'sama', 'screen', 'reader', 'dan', 'tolong', 'pada', 'proses', 'pengembangannya', 'libatkan', 'yang', 'harus', 'dilibatkan', 'hanya', 'sekadar', 'masukan', 'sih', 'semoga', 'kedepan', 'aplikasinya', 'bisa', 'lebih', 'inklusif', 'bisa', 'diaksses', 'sama', 'semua', 'orang', 'tanpa', 'terkecuali', 'terima', 'kasih'];['sebenernya', 'sih', 'sudah', 'bagus', 'tapi', 'sayang', 'belum', 'disabilitas', 'friendly', 'hiburan', 'kan', 'diciptakan', 'untuk', 'semua', 'orang', 'agar', 'bisa', 'dinikmati', 'jadi', 'tolong', 'iya', 'buat', 'menu', 'pemilihan', 'kursi', 'bikin', 'biar', 'bisa', 'diakses', 'sama', 'screen', 'reader', 'dan', 'tolong', 'pada', 'proses', 'pengembangannya', 'libatkan', 'yang', 'harus', 'dilibatkan', 'hanya', 'sekadar', 'masukan', 'sih', 'semoga', 'kedepan', 'aplikasinya', 'bisa', 'lebih', 'inklusif', 'bisa', 'diaksses', 'sama', 'semua', 'orang', 'tanpa', 'terkecuali', 'terima', 'kasih'];['sebenernya', 'sih', 'sudah', 'bagus', 'tapi', 'sayang', 'belum', 'disabilitas', 'friendly', 'hibur', 'kan', 'cipta', 'untuk', 'semua', 'orang', 'agar', 'bisa', 'nikmat', 'jadi', 'tolong', 'iya', 'buat', 'menu', 'pilih', 'kursi', 'bikin', 'biar', 'bisa', 'akses', 'sama', 'screen', 'reader', 'dan', 'tolong', 'pada', 'proses', 'kembang', 'libat', 'yang', 'harus', 'libat', 'hanya', 'sekadar', 'masuk', 'sih', 'moga', 'depan', 'aplikasi', 'bisa', 'lebih', 'inklusif', 'bisa', 'diaksses', 'sama', 'semua', 'orang', 'tanpa', 'kecuali', 'terima', 'kasih']
5;Totally ok, tapi tolong akses untuk memesan tiket next day atau ditanggal2 berikutnya diberikan. Sangat membantu org2 well prepare dari jauh jauh hari. Kadang aktif iconnya, tapi tidak lengkap filmnya. Berbeda dgn ketika kita akses dihari H nya;totally ok, tapi tolong akses untuk memesan tiket next day atau ditanggal2 berikutnya diberikan. sangat membantu org2 well prepare dari jauh jauh hari. kadang aktif iconnya, tapi tidak lengkap filmnya. berbeda dgn ketika kita akses dihari h nya;totally ok tapi tolong akses untuk memesan tiket next day atau ditanggal2 berikutnya diberikan sangat membantu org2 well prepare dari jauh jauh hari kadang aktif iconnya tapi tidak lengkap filmnya berbeda dgn ketika kita akses dihari h nya;['totally', 'ok', 'tapi', 'tolong', 'akses', 'untuk', 'memesan', 'tiket', 'next', 'day', 'atau', 'ditanggal2', 'berikutnya', 'diberikan', 'sangat', 'membantu', 'org2', 'well', 'prepare', 'dari', 'jauh', 'jauh', 'hari', 'kadang', 'aktif', 'iconnya', 'tapi', 'tidak', 'lengkap', 'filmnya', 'berbeda', 'dgn', 'ketika', 'kita', 'akses', 'dihari', 'h', 'nya'];['totally', 'oke', 'tapi', 'tolong', 'akses', 'untuk', 'memesan', 'tiket', 'lanjut', 'day', 'atau', 'ditanggal2', 'berikutnya', 'diberikan', 'sangat', 'membantu', 'orang-orang', 'well', 'prepare', 'dari', 'jauh', 'jauh', 'hari', 'kadang', 'aktif', 'iconnya', 'tapi', 'tidak', 'lengkap', 'filmnya', 'berbeda', 'dengan', 'ketika', 'kita', 'akses', 'dihari', 'h', 'nya'];['totally', 'oke', 'tapi', 'tolong', 'akses', 'untuk', 'memesan', 'tiket', 'lanjut', 'day', 'atau', 'ditanggal2', 'berikutnya', 'diberikan', 'sangat', 'membantu', 'orang-orang', 'well', 'prepare', 'dari', 'jauh', 'jauh', 'hari', 'kadang', 'aktif', 'iconnya', 'tapi', 'tidak', 'lengkap', 'filmnya', 'berbeda', 'dengan', 'ketika', 'kita', 'akses', 'dihari', 'h', 'nya'];['totally', 'oke', 'tapi', 'tolong', 'akses', 'untuk', 'mes', 'tiket', 'lanjut', 'day', 'atau', 'ditanggal2', 'ikut', 'beri', 'sangat', 'bantu', 'orang', 'well', 'prepare', 'dari', 'jauh', 'jauh', 'hari', 'kadang', 'aktif', 'iconnya', 'tapi', 'tidak', 'lengkap', 'film', 'beda', 'dengan', 'ketika', 'kita', 'akses', 'hari', 'h', 'nya']
5;Buat Emak2 Gaptek yg mager ngantri jam tayang film,ini ngebantu banget sih.Bisa pilih jam tayang, pilah pilih film juga lewat hp, tinggal geser2,klik.Payment.Udah.Aplikasinya juga mudah... Cakep.;buat emak2 gaptek yg mager ngantri jam tayang film,ini ngebantu banget sih.bisa pilih jam tayang, pilah pilih film juga lewat hp, tinggal geser2,klik.payment.udah.aplikasinya juga mudah... cakep.;buat emak2 gaptek yg mager ngantri jam tayang filmini ngebantu banget sihbisa pilih jam tayang pilah pilih film juga lewat hp tinggal geser2klikpaymentudahaplikasinya juga mudah cakep;['buat', 'emak2', 'gaptek', 'yg', 'mager', 'ngantri', 'jam', 'tayang', 'filmini', 'ngebantu', 'banget', 'sihbisa', 'pilih', 'jam', 'tayang', 'pilah', 'pilih', 'film', 'juga', 'lewat', 'hp', 'tinggal', 'geser2klikpaymentudahaplikasinya', 'juga', 'mudah', 'cakep'];['buat', 'emak2', 'gagap teknologi', 'yang', 'mager', 'mengantri', 'jam', 'tayang', 'filmini', 'ngebantu', 'banget', 'sihbisa', 'pilih', 'jam', 'tayang', 'pilah', 'pilih', 'film', 'juga', 'lewat', 'hp', 'tinggal', 'geser2klikpaymentudahaplikasinya', 'juga', 'mudah', 'cakep'];['buat', 'emak2', 'gagap teknologi', 'yang', 'mager', 'mengantri', 'jam', 'tayang', 'filmini', 'ngebantu', 'banget', 'sihbisa', 'pilih', 'jam', 'tayang', 'pilah', 'pilih', 'film', 'juga', 'lewat', 'hp', 'tinggal', 'geser2klikpaymentudahaplikasinya', 'juga', 'mudah', 'cakep'];['buat', 'emak2', 'gagap teknologi', 'yang', 'mager', 'antri', 'jam', 'tayang', 'filmini', 'ngebantu', 'banget', 'sihbisa', 'pilih', 'jam', 'tayang', 'pilah', 'pilih', 'film', 'juga', 'lewat', 'hp', 'tinggal', 'geser2klikpaymentudahaplikasinya', 'juga', 'mudah', 'cakep']
1;ini kenapa jadi ada kendala ya? baru saya booking kursinya dan berhasil transaksi. ini skrng Mlah kendala. gua mau scane barcode nya ini gua mau nonton;ini kenapa jadi ada kendala ya? baru saya booking kursinya dan berhasil transaksi. ini skrng mlah kendala. gua mau scane barcode nya ini gua mau nonton;ini kenapa jadi ada kendala ya baru saya booking kursinya dan berhasil transaksi ini skrng mlah kendala gua mau scane barcode nya ini gua mau nonton;['ini', 'kenapa', 'jadi', 'ada', 'kendala', 'ya', 'baru', 'saya', 'booking', 'kursinya', 'dan', 'berhasil', 'transaksi', 'ini', 'skrng', 'mlah', 'kendala', 'gua', 'mau', 'scane', 'barcode', 'nya', 'ini', 'gua', 'mau', 'nonton'];['ini', 'kenapa', 'jadi', 'ada', 'kendala', 'iya', 'baru', 'saya', 'pesan', 'kursinya', 'dan', 'berhasil', 'transaksi', 'ini', 'sekarang', 'malah', 'kendala', 'saya', 'mau', 'scane', 'barcode', 'nya', 'ini', 'saya', 'mau', 'nonton'];['ini', 'kenapa', 'jadi', 'ada', 'kendala', 'iya', 'baru', 'saya', 'pesan', 'kursinya', 'dan', 'berhasil', 'transaksi', 'ini', 'sekarang', 'malah', 'kendala', 'saya', 'mau', 'scane', 'barcode', 'nya', 'ini', 'saya', 'mau', 'nonton'];['ini', 'kenapa', 'jadi', 'ada', 'kendala', 'iya', 'baru', 'saya', 'pesan', 'kursi', 'dan', 'hasil', 'transaksi', 'ini', 'sekarang', 'malah', 'kendala', 'saya', 'mau', 'scane', 'barcode', 'nya', 'ini', 'saya', 'mau', 'nonton']
4;sangat membantu, tapi tolong adakan fitur re schedule jadwal jam nontonnya.. terkadang cuaca di luar tidak mendukung, yg membuat tiket hangus🙏🏼;sangat membantu, tapi tolong adakan fitur re schedule jadwal jam nontonnya.. terkadang cuaca di luar tidak mendukung, yg membuat tiket hangus🙏🏼;sangat membantu tapi tolong adakan fitur re schedule jadwal jam nontonnya terkadang cuaca di luar tidak mendukung yg membuat tiket hangus🙏🏼;['sangat', 'membantu', 'tapi', 'tolong', 'adakan', 'fitur', 're', 'schedule', 'jadwal', 'jam', 'nontonnya', 'terkadang', 'cuaca', 'di', 'luar', 'tidak', 'mendukung', 'yg', 'membuat', 'tiket', 'hangus🙏🏼'];['sangat', 'membantu', 'tapi', 'tolong', 'adakan', 'fitur', 'reply', 'schedule', 'jadwal', 'jam', 'nontonnya', 'terkadang', 'cuaca', 'di', 'luar', 'tidak', 'mendukung', 'yang', 'membuat', 'tiket', 'hangus🙏🏼'];['sangat', 'membantu', 'tapi', 'tolong', 'adakan', 'fitur', 'reply', 'schedule', 'jadwal', 'jam', 'nontonnya', 'terkadang', 'cuaca', 'di', 'luar', 'tidak', 'mendukung', 'yang', 'membuat', 'tiket', 'hangus🙏🏼'];['sangat', 'bantu', 'tapi', 'tolong', 'adakan', 'fitur', 'reply', 'schedule', 'jadwal', 'jam', 'nontonnya', 'terkadang', 'cuaca', 'di', 'luar', 'tidak', 'dukung', 'yang', 'buat', 'tiket', 'hangus']
3;Susah amat buat pesan tiketnya. Bukan susah gunain aplikasinya. Tapi karena selalu bermasalah aplikasinya. Belum lagi banyak ulasan yang katanya uang tidak di refund, sedangkan uang di e-wallet sudah kepotong. Baru juga mau pakai ni aplikasi. Karena ada promonya. Begitu promonya sudah habis, baru lancar aplikasinya. parah sih;susah amat buat pesan tiketnya. bukan susah gunain aplikasinya. tapi karena selalu bermasalah aplikasinya. belum lagi banyak ulasan yang katanya uang tidak di refund, sedangkan uang di e-wallet sudah kepotong. baru juga mau pakai ni aplikasi. karena ada promonya. begitu promonya sudah habis, baru lancar aplikasinya. parah sih;susah amat buat pesan tiketnya bukan susah gunain aplikasinya tapi karena selalu bermasalah aplikasinya belum lagi banyak ulasan yang katanya uang tidak di refund sedangkan uang di ewallet sudah kepotong baru juga mau pakai ni aplikasi karena ada promonya begitu promonya sudah habis baru lancar aplikasinya parah sih;['susah', 'amat', 'buat', 'pesan', 'tiketnya', 'bukan', 'susah', 'gunain', 'aplikasinya', 'tapi', 'karena', 'selalu', 'bermasalah', 'aplikasinya', 'belum', 'lagi', 'banyak', 'ulasan', 'yang', 'katanya', 'uang', 'tidak', 'di', 'refund', 'sedangkan', 'uang', 'di', 'ewallet', 'sudah', 'kepotong', 'baru', 'juga', 'mau', 'pakai', 'ni', 'aplikasi', 'karena', 'ada', 'promonya', 'begitu', 'promonya', 'sudah', 'habis', 'baru', 'lancar', 'aplikasinya', 'parah', 'sih'];['susah', 'amat', 'buat', 'pesan', 'tiketnya', 'bukan', 'susah', 'gunain', 'aplikasinya', 'tapi', 'karena', 'selalu', 'bermasalah', 'aplikasinya', 'belum', 'lagi', 'banyak', 'ulasan', 'yang', 'katanya', 'uang', 'tidak', 'di', 'refund', 'sedangkan', 'uang', 'di', 'ewallet', 'sudah', 'kepotong', 'baru', 'juga', 'mau', 'pakai', 'ini', 'aplikasi', 'karena', 'ada', 'promonya', 'begitu', 'promonya', 'sudah', 'habis', 'baru', 'lancar', 'aplikasinya', 'parah', 'sih'];['susah', 'amat', 'buat', 'pesan', 'tiketnya', 'bukan', 'susah', 'gunain', 'aplikasinya', 'tapi', 'karena', 'selalu', 'bermasalah', 'aplikasinya', 'belum', 'lagi', 'banyak', 'ulasan', 'yang', 'katanya', 'uang', 'tidak', 'di', 'refund', 'sedangkan', 'uang', 'di', 'ewallet', 'sudah', 'kepotong', 'baru', 'juga', 'mau', 'pakai', 'ini', 'aplikasi', 'karena', 'ada', 'promonya', 'begitu', 'promonya', 'sudah', 'habis', 'baru', 'lancar', 'aplikasinya', 'parah', 'sih'];['susah', 'amat', 'buat', 'pesan', 'tiket', 'bukan', 'susah', 'gunain', 'aplikasi', 'tapi', 'karena', 'selalu', 'masalah', 'aplikasi', 'belum', 'lagi', 'banyak', 'ulas', 'yang', 'kata', 'uang', 'tidak', 'di', 'refund', 'sedang', 'uang', 'di', 'ewallet', 'sudah', 'potong', 'baru', 'juga', 'mau', 'pakai', 'ini', 'aplikasi', 'karena', 'ada', 'promonya', 'begitu', 'promonya', 'sudah', 'habis', 'baru', 'lancar', 'aplikasi', 'parah', 'sih']
3;kenapa pas udah tekan ringkasan order, selalu loading terus, muter2, dan gak bisa transaksi??? tolong ditingkatkan lagi performa aplikasi kelen!!;kenapa pas udah tekan ringkasan order, selalu loading terus, muter2, dan gak bisa transaksi??? tolong ditingkatkan lagi performa aplikasi kelen!!;kenapa pas udah tekan ringkasan order selalu loading terus muter2 dan gak bisa transaksi tolong ditingkatkan lagi performa aplikasi kelen;['kenapa', 'pas', 'udah', 'tekan', 'ringkasan', 'order', 'selalu', 'loading', 'terus', 'muter2', 'dan', 'gak', 'bisa', 'transaksi', 'tolong', 'ditingkatkan', 'lagi', 'performa', 'aplikasi', 'kelen'];['kenapa', 'pas', 'sudah', 'tekan', 'ringkasan', 'order', 'selalu', 'loading', 'terus', 'muter2', 'dan', 'tidak', 'bisa', 'transaksi', 'tolong', 'ditingkatkan', 'lagi', 'performa', 'aplikasi', 'kelen'];['kenapa', 'pas', 'sudah', 'tekan', 'ringkasan', 'order', 'selalu', 'loading', 'terus', 'muter2', 'dan', 'tidak', 'bisa', 'transaksi', 'tolong', 'ditingkatkan', 'lagi', 'performa', 'aplikasi', 'kelen'];['kenapa', 'pas', 'sudah', 'tekan', 'ringkas', 'order', 'selalu', 'loading', 'terus', 'muter2', 'dan', 'tidak', 'bisa', 'transaksi', 'tolong', 'tingkat', 'lagi', 'performa', 'aplikasi', 'kelen']
