text_clean;text_tokens
tidak bertanggung jawab uang refund tidak bisa di peroleh perkara waktu pembayaran keduluan pembeli yg lain kalah cepat pembayaran tapi uang tidak kembali hanya tertulis refund gagal;['tidak', 'bertanggung', 'jawab', 'uang', 'refund', 'tidak', 'bisa', 'di', 'peroleh', 'perkara', 'waktu', 'pembayaran', 'keduluan', 'pembeli', 'yg', 'lain', 'kalah', 'cepat', 'pembayaran', 'tapi', 'uang', 'tidak', 'kembali', 'hanya', 'tertulis', 'refund', 'gagal']
praktis utk pesan nonton film bioskop;['praktis', 'utk', 'pesan', 'nonton', 'film', 'bioskop']
sangat membantu untuk pesen tiket online;['sangat', 'membantu', 'untuk', 'pesen', 'tiket', 'online']
mudah utk pesan tiket nonton;['mudah', 'utk', 'pesan', 'tiket', 'nonton']
lumayan klo apk tmbh bagus nanti sy kasih bintang lagi tolong background apk nya di tambah kn temabiar tdk monoton cuma warna putih doang trs terang soal tampilan msh bagus apk sebelahmtix xxi;['lumayan', 'klo', 'apk', 'tmbh', 'bagus', 'nanti', 'sy', 'kasih', 'bintang', 'lagi', 'tolong', 'background', 'apk', 'nya', 'di', 'tambah', 'kn', 'temabiar', 'tdk', 'monoton', 'cuma', 'warna', 'putih', 'doang', 'trs', 'terang', 'soal', 'tampilan', 'msh', 'bagus', 'apk', 'sebelahmtix', 'xxi']
mudah pesan tiket dan mudah penggunaan;['mudah', 'pesan', 'tiket', 'dan', 'mudah', 'penggunaan']
wajib di perbaiki lagi kadang voucher nya gk bisa terpakai padahal voucher nya baru;['wajib', 'di', 'perbaiki', 'lagi', 'kadang', 'voucher', 'nya', 'gk', 'bisa', 'terpakai', 'padahal', 'voucher', 'nya', 'baru']
susah banget dapet kode otp nya buat daftar;['susah', 'banget', 'dapet', 'kode', 'otp', 'nya', 'buat', 'daftar']
poin gak bisa di tukar voucher;['poin', 'gak', 'bisa', 'di', 'tukar', 'voucher']
saya mau daftar aja ga bisa cape nungguin notif wa nya masuksampe skrng dk masuk;['saya', 'mau', 'daftar', 'aja', 'ga', 'bisa', 'cape', 'nungguin', 'notif', 'wa', 'nya', 'masuksampe', 'skrng', 'dk', 'masuk']
susah bener mau daftar muter terus ndak nyampai kode yg dikirim;['susah', 'bener', 'mau', 'daftar', 'muter', 'terus', 'ndak', 'nyampai', 'kode', 'yg', 'dikirim']
aplikasinya error atau bagaimana sih kog minta kirim kode gak di kirim jg sampai berulang kali mf saya kasih bintang;['aplikasinya', 'error', 'atau', 'bagaimana', 'sih', 'kog', 'minta', 'kirim', 'kode', 'gak', 'di', 'kirim', 'jg', 'sampai', 'berulang', 'kali', 'mf', 'saya', 'kasih', 'bintang']
ga perlu antri ke bioskop buat beli tiket;['ga', 'perlu', 'antri', 'ke', 'bioskop', 'buat', 'beli', 'tiket']
jadi gampang beli tiketnya mantap;['jadi', 'gampang', 'beli', 'tiketnya', 'mantap']
kenpa dah ni apk gak bisa di buka stuck di logo;['kenpa', 'dah', 'ni', 'apk', 'gak', 'bisa', 'di', 'buka', 'stuck', 'di', 'logo']
menarik bagus;['menarik', 'bagus']
bagus tapi gatau kenapa di aku beberapa bioskop ga muncul tapi juga ga bisa di update;['bagus', 'tapi', 'gatau', 'kenapa', 'di', 'aku', 'beberapa', 'bioskop', 'ga', 'muncul', 'tapi', 'juga', 'ga', 'bisa', 'di', 'update']
setelah hamil anak ke sampe ke artinya uda th lebih g ke biskop krn takut klo bawa anak bisa ganggu org lain dan kmrm nonton jumbo pertama kali anak q uda siap di bawa ke bisokop krn uda bisa di kasih tau dan nemu aplikasi ini yg enk bgt buat pesen tiket online gampang bgt penggunaanya pilih lokasi film pilih bangku bayar trs dateng sesuai jam trs tuker ke loketterus uda duduk dech nonton;['setelah', 'hamil', 'anak', 'ke', 'sampe', 'ke', 'artinya', 'uda', 'th', 'lebih', 'g', 'ke', 'biskop', 'krn', 'takut', 'klo', 'bawa', 'anak', 'bisa', 'ganggu', 'org', 'lain', 'dan', 'kmrm', 'nonton', 'jumbo', 'pertama', 'kali', 'anak', 'q', 'uda', 'siap', 'di', 'bawa', 'ke', 'bisokop', 'krn', 'uda', 'bisa', 'di', 'kasih', 'tau', 'dan', 'nemu', 'aplikasi', 'ini', 'yg', 'enk', 'bgt', 'buat', 'pesen', 'tiket', 'online', 'gampang', 'bgt', 'penggunaanya', 'pilih', 'lokasi', 'film', 'pilih', 'bangku', 'bayar', 'trs', 'dateng', 'sesuai', 'jam', 'trs', 'tuker', 'ke', 'loketterus', 'uda', 'duduk', 'dech', 'nonton']
download nya cuma tipuan;['download', 'nya', 'cuma', 'tipuan']
ya untuk rating lebih akurat dari pada imdb dan rotten tomatoes soalnya imdb dan rotten tomatoes ga make sense;['ya', 'untuk', 'rating', 'lebih', 'akurat', 'dari', 'pada', 'imdb', 'dan', 'rotten', 'tomatoes', 'soalnya', 'imdb', 'dan', 'rotten', 'tomatoes', 'ga', 'make', 'sense']
sangat membantu tapi tolong adakan fitur re schedule jadwal jam nontonnya terkadang cuaca di luar tidak mendukung yg membuat tiket hangus;['sangat', 'membantu', 'tapi', 'tolong', 'adakan', 'fitur', 're', 'schedule', 'jadwal', 'jam', 'nontonnya', 'terkadang', 'cuaca', 'di', 'luar', 'tidak', 'mendukung', 'yg', 'membuat', 'tiket', 'hangus']
aplikasinya rusaktidak bisa digunakan;['aplikasinya', 'rusaktidak', 'bisa', 'digunakan']
aplikasi sangat lambatlemot padahal sinyal speed internet bagus;['aplikasi', 'sangat', 'lambatlemot', 'padahal', 'sinyal', 'speed', 'internet', 'bagus']
sangat membantu dalam pembelian tanpa menunggu antrean;['sangat', 'membantu', 'dalam', 'pembelian', 'tanpa', 'menunggu', 'antrean']
selalu ada notif tidak ada koneksi internet pdhal wifi lancar;['selalu', 'ada', 'notif', 'tidak', 'ada', 'koneksi', 'internet', 'pdhal', 'wifi', 'lancar']
waktu sampe ke bioskop app tibatiba errortidak ada akses alhasil sampe ketinggalan film menit ga lagi deh pake nih app;['waktu', 'sampe', 'ke', 'bioskop', 'app', 'tibatiba', 'errortidak', 'ada', 'akses', 'alhasil', 'sampe', 'ketinggalan', 'film', 'menit', 'ga', 'lagi', 'deh', 'pake', 'nih', 'app']
karena teman saya sudah membayar gopay di aplikasi tix id tapi tiketnya belum tertera di aplikasi nya tolong ya di perbaiki lagi;['karena', 'teman', 'saya', 'sudah', 'membayar', 'gopay', 'di', 'aplikasi', 'tix', 'id', 'tapi', 'tiketnya', 'belum', 'tertera', 'di', 'aplikasi', 'nya', 'tolong', 'ya', 'di', 'perbaiki', 'lagi']
banyak kota yg belum masuk tolong update lagi lebih banyak pilihan kota nya kotaku magelang belom ada;['banyak', 'kota', 'yg', 'belum', 'masuk', 'tolong', 'update', 'lagi', 'lebih', 'banyak', 'pilihan', 'kota', 'nya', 'kotaku', 'magelang', 'belom', 'ada']
aplikasi yang membantu banyak orang pokonya is the best;['aplikasi', 'yang', 'membantu', 'banyak', 'orang', 'pokonya', 'is', 'the', 'best']
ngelag sekali aplikasinya dan payah di pencet;['ngelag', 'sekali', 'aplikasinya', 'dan', 'payah', 'di', 'pencet']
ga mau ngasih bintang ga pantas pelayanannya sangat buruk aku beli tiket nonton film komang waktu itu tgl april transaksi pembelian tiket sukses namun tiketnya gagal terbit tidak berlaku dan tertera pada aplikasi bahwa refund berhasil sampai saat ini dana saya pun belum dikempalikan saya sudah buat laporan via email namun saya disuruh untuk cek mutasi rekening dan menghubungi bank terkait namun kenyataan uang memang belum direfund sama sekali sampai hari ini;['ga', 'mau', 'ngasih', 'bintang', 'ga', 'pantas', 'pelayanannya', 'sangat', 'buruk', 'aku', 'beli', 'tiket', 'nonton', 'film', 'komang', 'waktu', 'itu', 'tgl', 'april', 'transaksi', 'pembelian', 'tiket', 'sukses', 'namun', 'tiketnya', 'gagal', 'terbit', 'tidak', 'berlaku', 'dan', 'tertera', 'pada', 'aplikasi', 'bahwa', 'refund', 'berhasil', 'sampai', 'saat', 'ini', 'dana', 'saya', 'pun', 'belum', 'dikempalikan', 'saya', 'sudah', 'buat', 'laporan', 'via', 'email', 'namun', 'saya', 'disuruh', 'untuk', 'cek', 'mutasi', 'rekening', 'dan', 'menghubungi', 'bank', 'terkait', 'namun', 'kenyataan', 'uang', 'memang', 'belum', 'direfund', 'sama', 'sekali', 'sampai', 'hari', 'ini']
dengan aplikasi ini sangat membantu kita tidak ngantri lgtinggal barcode lalu dprintga usah repot ngantri;['dengan', 'aplikasi', 'ini', 'sangat', 'membantu', 'kita', 'tidak', 'ngantri', 'lgtinggal', 'barcode', 'lalu', 'dprintga', 'usah', 'repot', 'ngantri']
keren tq memudahkan saat mo nonton gk usah antri;['keren', 'tq', 'memudahkan', 'saat', 'mo', 'nonton', 'gk', 'usah', 'antri']
mudah digunakan;['mudah', 'digunakan']
mau pesan tiket kok lama banget sih padahal koneksi internet udah stabil;['mau', 'pesan', 'tiket', 'kok', 'lama', 'banget', 'sih', 'padahal', 'koneksi', 'internet', 'udah', 'stabil']
mempermudah semuanya tidak perlu antri beli tiket nonton;['mempermudah', 'semuanya', 'tidak', 'perlu', 'antri', 'beli', 'tiket', 'nonton']
tolong tiap beli tiket biaya adminnya kurangi;['tolong', 'tiap', 'beli', 'tiket', 'biaya', 'adminnya', 'kurangi']
jadi gampang buat pesen tiket;['jadi', 'gampang', 'buat', 'pesen', 'tiket']
memudahkan semuanya enak nyaman;['memudahkan', 'semuanya', 'enak', 'nyaman']
aneh punya coin gak bisa dituker mulu;['aneh', 'punya', 'coin', 'gak', 'bisa', 'dituker', 'mulu']
sangat membatu gak susah antritgl kilik pesen ini apk yg terbaik aku temui makasih tix;['sangat', 'membatu', 'gak', 'susah', 'antritgl', 'kilik', 'pesen', 'ini', 'apk', 'yg', 'terbaik', 'aku', 'temui', 'makasih', 'tix']
aplikasi penolong buat ngga antri lgi huhu;['aplikasi', 'penolong', 'buat', 'ngga', 'antri', 'lgi', 'huhu']
payment mudah cek jadwal lengkap;['payment', 'mudah', 'cek', 'jadwal', 'lengkap']
aplikasi yang sangat menguntungkan banyak promosi;['aplikasi', 'yang', 'sangat', 'menguntungkan', 'banyak', 'promosi']
bli tiket online bs plh tmpt duk yg td tidak tahu jd tahu pembayaran jd mudah bnyk pilihannya;['bli', 'tiket', 'online', 'bs', 'plh', 'tmpt', 'duk', 'yg', 'td', 'tidak', 'tahu', 'jd', 'tahu', 'pembayaran', 'jd', 'mudah', 'bnyk', 'pilihannya']
sangat amat membantu jd kalau nonton bisa memept jam tayang brngkat g perlu antri beli popcorn juga tinggal pick up;['sangat', 'amat', 'membantu', 'jd', 'kalau', 'nonton', 'bisa', 'memept', 'jam', 'tayang', 'brngkat', 'g', 'perlu', 'antri', 'beli', 'popcorn', 'juga', 'tinggal', 'pick', 'up']
beli ticket bioskop jadi mudahmantap;['beli', 'ticket', 'bioskop', 'jadi', 'mudahmantap']
