score;content
1;Wajib di perbaiki lagi, kadang' voucher nya gk bisa terpakai, padahal voucher nya baru
1;SUSAH BANGET DAPET KODE OTP NYA BUAT DAFTAR!!!
1;poin gak bisa di tukar voucher
3;"saya mau daftar aja ga bisa, cape nungguin notif wa nya masuk,sampe skrng dk masuk"""
3;susah bener mau daftar. muter2 terus ndak nyampai3 kode yg dikirim
4;Aplikasinya error atau bagaimana sih ? Kog minta kirim kode gak di kirim2 jg sampai berulang kali. Mf saya kasih bintang 🌟 4
5;ga perlu antri ke bioskop buat beli tiket
5;jadi gampang beli tiketnya.. mantap
1;kenpa dah ni apk gak bisa di buka stuck di logo
5;menarik bagus
4;bagus, tapi gatau kenapa di aku beberapa bioskop ga muncul, tapi juga ga bisa di update
5;setelah hamil anak ke 1 sampe ke 2. artinya uda 10 th lebih g ke biskop krn takut klo bawa anak bisa ganggu org lain dan kmrm nonton jumbo pertama kali anak2 q uda siap di bawa ke bisokop krn uda bisa di kasih tau. dan nemu aplikasi ini yg enk bgt buat pesen tiket online gampang bgt penggunaanya. pilih2 lokasi, film, pilih bangku, bayar trs dateng sesuai jam trs tuker ke loket..terus uda duduk dech nonton
1;download nya cuma tipuan
5;Ya untuk rating lebih akurat dari pada imdb dan rotten tomatoes soalnya imdb dan rotten tomatoes ga make sense
4;sangat membantu, tapi tolong adakan fitur re schedule jadwal jam nontonnya.. terkadang cuaca di luar tidak mendukung, yg membuat tiket hangus🙏🏼
1;aplikasinya rusak/tidak bisa digunakan
1;aplikasi sangat lambat,lemot, padahal sinyal speed internet bagus..!
5;sangat membantu dalam pembelian ,tanpa menunggu antrean
2;selalu ada notif tidak ada koneksi internet pdhal wifi lancar
1;waktu sampe ke bioskop app tiba-tiba error/tidak ada akses alhasil sampe ketinggalan film 35 menit. ga lagi2 deh pake nih app 😑
2;karena teman saya sudah membayar gopay di aplikasi tix id tapi tiketnya belum tertera di aplikasi nya, tolong ya di perbaiki lagi
3;Banyak kota yg belum masuk, tolong update lagi lebih banyak pilihan kota nya. Kotaku Magelang belom ada
5;aplikasi yang membantu banyak orang pokonya is the best
2;Ngelag Sekali aplikasinya dan payah di pencet
1;"ga mau ngasih bintang. ga pantas. pelayanannya sangat buruk !!! aku beli tiket nonton Film Komang. waktu itu tgl 8 April 2025. Transaksi pembelian tiket sukses, Namun tiketnya Gagal terbit / tidak berlaku dan tertera pada aplikasi bahwa ""Refund Berhasil"" sampai saat ini dana saya pun belum dikempalikan. saya sudah buat laporan via email, namun saya disuruh untuk cek mutasi rekening dan menghubungi bank terkait. namun kenyataan uang memang belum direfund sama sekali sampai hari ini."
5;dengan aplikasi ini sangat membantu kita tidak ngantri lg.tinggal barcode lalu dprint..ga usah repot ngantri
5;Keren.. tq Memudahkan saat mo nonton gk usah antri
5;mudah digunakan
1;mau pesan tiket kok lama banget sih, padahal koneksi internet udah stabil
5;mempermudah semuanya... tidak perlu antri beli tiket nonton...
5;Tolong tiap beli tiket biaya adminnya kurangi
5;jadi gampang buat pesen tiket
5;memudahkan semuanya, enak, nyaman
2;aneh punya coin gak bisa dituker mulu
5;sangat membatu gak susah² antri,tgl kilik pesen, ini apk yg terbaik aku temui makasih tix
